SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty
20327,VOLT Evolution 4FT Elite - Type C Earbuds,Tech,,,FALSE,FALSE,FALSE,6,48
20328,VOLT Evolution 4FT - Triple Tip,Tech,,,FALSE,FALSE,FALSE,8,80
20329,VOLT Evolution 4FT Elite - Lightning Earbuds,Tech,,,FALSE,FALSE,FALSE,6,48
20334,VOLT Evolution Earbuds Caddy 6pcs - Display Only,Display,,,FALSE,FALSE,FALSE,,
20500,VOLT 4FT FC MFI - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
20501,VOLT 4FT FC - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
20502,VOLT 4FT FC - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
20503,VOLT FC Car Charger,Tech,,,FALSE,FALSE,FALSE,10,100
20504,VOLT FC Wall Charger,Tech,,,FALSE,FALSE,FALSE,10,100
20505,VOLT FC CUL Wall Charger,Tech,,,FALSE,FALSE,FALSE,10,100
20510,VOLT Evolution FC Car Charger 20W (Bulk),Tech,,,FALSE,FALSE,FALSE,25,100
20511,VOLT Evolution FC Wall Charger 20W (Bulk),Tech,,,FALSE,FALSE,FALSE,16,96
